#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Apr 14 14:56:31 EDT 2020,0,0,Assignment5Suite, ,GIPCRMIStaticArguments+ ,GIPCRMIClientMetaStateBroadcast- GIPCRMIClientMetaStateNoBroadcast- GIPCRMIOneClientConnection- GIPCRMIOneClientReadWriteNonAtomic- GIPCRMIServerMetaStateBroadcast- GIPCRMIServerMetaStateNoBroadcast- GIPCRMITwoClientConnection- GIPCRMITwoClientReadWriteNonAtomic- , ,
1,Tue Apr 14 15:26:00 EDT 2020,0,0,Assignment5Suite, ,GIPCRMIStaticArguments ,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection GIPCRMITwoClientReadWriteNonAtomic , ,
2,Fri Apr 17 22:56:15 EDT 2020,0,0,Assignment5Suite, ,GIPCRMIStaticArguments ,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection GIPCRMITwoClientReadWriteNonAtomic , ,
3,Fri Apr 17 23:43:21 EDT 2020,22,22,Assignment5Suite,GIPCRMIOneClientConnection+ GIPCRMIStaticArguments+ ,GIPCRMIOneClientReadWriteNonAtomic+ ,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection GIPCRMITwoClientReadWriteNonAtomic , ,
4,Fri Apr 17 23:46:54 EDT 2020,77,55,Assignment5Suite,GIPCRMIClientMetaStateBroadcast+ GIPCRMIClientMetaStateNoBroadcast+ GIPCRMIOneClientConnection GIPCRMIServerMetaStateBroadcast+ GIPCRMIServerMetaStateNoBroadcast+ GIPCRMIStaticArguments GIPCRMITwoClientConnection+ ,GIPCRMIOneClientReadWriteNonAtomic GIPCRMITwoClientReadWriteNonAtomic+ , , ,
5,Sat Apr 18 19:11:27 EDT 2020,11,-66,Assignment5Suite,GIPCRMIStaticArguments , ,GIPCRMIClientMetaStateBroadcast- GIPCRMIClientMetaStateNoBroadcast- GIPCRMIOneClientConnection- GIPCRMIOneClientReadWriteNonAtomic- GIPCRMIServerMetaStateBroadcast- GIPCRMIServerMetaStateNoBroadcast- GIPCRMITwoClientConnection- GIPCRMITwoClientReadWriteNonAtomic- , ,
6,Sat Apr 18 19:18:15 EDT 2020,11,0,Assignment5Suite,GIPCRMIStaticArguments , ,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection GIPCRMITwoClientReadWriteNonAtomic , ,
7,Sat Apr 18 19:57:10 EDT 2020,77,66,Assignment5Suite,GIPCRMIClientMetaStateBroadcast+ GIPCRMIClientMetaStateNoBroadcast+ GIPCRMIOneClientConnection+ GIPCRMIServerMetaStateBroadcast+ GIPCRMIServerMetaStateNoBroadcast+ GIPCRMIStaticArguments GIPCRMITwoClientConnection+ ,GIPCRMIOneClientReadWriteNonAtomic+ GIPCRMITwoClientReadWriteNonAtomic+ , , ,
8,Sat Apr 18 20:54:14 EDT 2020,77,0,Assignment5Suite,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments GIPCRMITwoClientConnection ,GIPCRMIOneClientReadWriteNonAtomic GIPCRMITwoClientReadWriteNonAtomic , , ,
9,Sat Apr 18 21:15:43 EDT 2020,77,0,Assignment5Suite,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments GIPCRMITwoClientConnection ,GIPCRMIOneClientReadWriteNonAtomic GIPCRMITwoClientReadWriteNonAtomic , , ,
