#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Apr 23 20:09:06 EDT 2020,75,75,Assignment7Suite,GIPCRMINIOClientMetaStateBroadcast+ GIPCRMINIOClientMetaStateNoBroadcast+ GIPCRMINIOOneClientConnection+ GIPCRMINIOOneClientReadWriteNonAtomic+ GIPCRMINIOServerMetaStateBroadcast+ GIPCRMINIOServerMetaStateNoBroadcast+ GIPCRMINIOStaticArguments+ GIPCRMINIOTwoClientConnection+ GIPCRMINIOTwoClientReadWriteNonAtomic+ ,GIPCRMINIOOneClientReadWriteAtomic+ GIPCRMINIOTwoClientReadWriteAtomic+ GIPCRMINIOTwoClientReadWriteAtomicConsensus+ , , ,
1,Thu Apr 23 23:10:57 EDT 2020,91,16,Assignment7Suite,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic+ GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic+ GIPCRMINIOTwoClientReadWriteNonAtomic ,GIPCRMINIOTwoClientReadWriteAtomicConsensus , , ,
2,Fri Apr 24 00:56:25 EDT 2020,91,0,Assignment7Suite,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteNonAtomic ,GIPCRMINIOTwoClientReadWriteAtomicConsensus , , ,
3,Fri Apr 24 10:12:18 EDT 2020,91,0,Assignment7Suite,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteNonAtomic ,GIPCRMINIOTwoClientReadWriteAtomicConsensus , , ,
4,Fri Apr 24 14:35:48 EDT 2020,91,0,Assignment7Suite,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteNonAtomic ,GIPCRMINIOTwoClientReadWriteAtomicConsensus , , ,
5,Fri Apr 24 15:57:41 EDT 2020,100,9,Assignment7Suite,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus+ GIPCRMINIOTwoClientReadWriteNonAtomic , , , ,
6,Fri Apr 24 16:17:29 EDT 2020,100,0,Assignment7Suite,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic , , , ,
7,Fri Apr 24 16:52:27 EDT 2020,100,0,Assignment7Suite,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic , , , ,
8,Fri Apr 24 17:48:00 EDT 2020,91,-9,Assignment7Suite,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic ,GIPCRMINIOOneClientReadWriteNonAtomic- , , ,
9,Fri Apr 24 19:06:08 EDT 2020,100,9,Assignment7Suite,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic+ GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic , , , ,
